zip,city,state,type
01971,Salem,MA,PO BOX
01982,South Hamilton,MA,STANDARD
01983,Topsfield,MA,STANDARD
01984,Wenham,MA,STANDARD
01985,West Newbury,MA,STANDARD
02018,Accord,MA,PO BOX
02019,Bellingham,MA,STANDARD
02020,Brant Rock,MA,PO BOX
02021,Canton,MA,STANDARD
02025,Cohasset,MA,STANDARD
02026,Dedham,MA,STANDARD
02027,Dedham,MA,PO BOX
02030,Dover,MA,STANDARD
02031,East Mansfield,MA,STANDARD
02032,East Walpole,MA,STANDARD
02035,Foxboro,MA,STANDARD
02038,Franklin,MA,STANDARD
02040,Greenbush,MA,PO BOX
02041,Green Harbor,MA,PO BOX
02043,Hingham,MA,STANDARD
02044,Hingham,MA,UNIQUE
02045,Hull,MA,STANDARD
02047,Humarock,MA,PO BOX
02048,Mansfield,MA,STANDARD
02050,Marshfield,MA,STANDARD
02051,Marshfield Hills,MA,PO BOX
02052,Medfield,MA,STANDARD
02053,Medway,MA,STANDARD
02054,Millis,MA,STANDARD
02055,Minot,MA,PO BOX
02056,Norfolk,MA,STANDARD
02059,North Marshfield,MA,PO BOX
02060,North Scituate,MA,PO BOX
02061,Norwell,MA,STANDARD
02062,Norwood,MA,STANDARD
02065,Ocean Bluff,MA,PO BOX
02066,Scituate,MA,STANDARD
02067,Sharon,MA,STANDARD
02070,Sheldonville,MA,PO BOX
02071,South Walpole,MA,STANDARD
02072,Stoughton,MA,STANDARD
02081,Walpole,MA,STANDARD
02090,Westwood,MA,STANDARD
02093,Wrentham,MA,STANDARD
02108,Boston,MA,STANDARD
02109,Boston,MA,STANDARD
02110,Boston,MA,STANDARD
02111,Boston,MA,STANDARD
02112,Boston,MA,PO BOX
02113,Boston,MA,STANDARD
02114,Boston,MA,STANDARD
02115,Boston,MA,STANDARD
02116,Boston,MA,STANDARD
02117,Boston,MA,PO BOX
02118,Boston,MA,STANDARD
02119,Roxbury,MA,STANDARD
02120,Roxbury Crossing,MA,STANDARD
02121,Dorchester,MA,STANDARD
02122,Dorchester,MA,STANDARD
02123,Boston,MA,PO BOX
02124,Dorchester Center,MA,STANDARD
02125,Dorchester,MA,STANDARD
02126,Mattapan,MA,STANDARD
02127,South Boston,MA,STANDARD
02128,East Boston,MA,STANDARD
02129,Charlestown,MA,STANDARD
02130,Jamaica Plain,MA,STANDARD
02131,Roslindale,MA,STANDARD
