id,active,taggable,campaign_only,numeric,immutable,is_date,display_order,category_id,name,input_type,trait_id
380,true,true,false,false,false,false,13 ,2 ,"Colitis","MultiSelect",367
381,true,true,false,false,false,false,14 ,2 ,"Crohn's disease","MultiSelect",367
382,true,true,false,false,false,false,15 ,2 ,"Cystic fibrosis","MultiSelect",367
383,true,true,false,false,false,false,16 ,2 ,"Deafness","MultiSelect",367
384,true,true,false,false,false,false,17 ,2 ,"Depression","MultiSelect",367
385,true,true,false,false,false,false,18 ,2 ,"Diabetes","MultiSelect",367
386,true,true,false,false,false,false,19 ,2 ,"Down syndrome","MultiSelect",367
387,true,true,false,false,false,false,20 ,2 ,"Eating disorder","MultiSelect",367
388,true,true,false,false,false,false,21 ,2 ,"Epilepsy","MultiSelect",367
389,true,true,false,false,false,false,22 ,2 ,"High cholesterol","MultiSelect",367
390,true,true,false,false,false,false,23 ,2 ,"Hypertension","MultiSelect",367
391,true,true,false,false,false,false,24 ,2 ,"Heart disease","MultiSelect",367
392,true,true,false,false,false,false,25 ,2 ,"HIV","MultiSelect",367
393,true,true,false,false,false,false,26 ,2 ,"Leukemia","MultiSelect",367
394,true,true,false,false,false,false,27 ,2 ,"Lung disease","MultiSelect",367
395,true,true,false,false,false,false,28 ,2 ,"Lupus","MultiSelect",367
396,true,true,false,false,false,false,29 ,2 ,"Lyme disease","MultiSelect",367
397,true,true,false,false,false,false,30 ,2 ,"Migraines","MultiSelect",367
398,true,true,false,false,false,false,31 ,2 ,"Multiple sclerosis","MultiSelect",367
399,true,true,false,false,false,false,32 ,2 ,"Muscular dystrophy","MultiSelect",367
400,true,true,false,false,false,false,33 ,2 ,"Obsessive-compulsive disorder","MultiSelect",367
401,true,true,false,false,false,false,34 ,2 ,"Obesity","MultiSelect",367
402,true,true,false,false,false,false,35 ,2 ,"Parkinson's disease","MultiSelect",367
403,true,true,false,false,false,false,36 ,2 ,"Repetitive strain injury (RSI)","MultiSelect",367
404,true,true,false,false,false,false,37 ,2 ,"Shingles","MultiSelect",367
405,true,true,false,false,false,false,38 ,2 ,"Sickle-cell anemia","MultiSelect",367
406,true,true,false,false,false,false,39 ,2 ,"Sleep apnea","MultiSelect",367
407,true,true,false,false,false,false,40 ,2 ,"Tinnitus","MultiSelect",367
409,true,true,false,false,false,false,1  ,6 ,"Animal dander","MultiSelect",408
